<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,10,16/07/20,10:10:00,209.7000000,210.5900000,209.5200000,210.0000000,2398440
SBER,10,16/07/20,10:20:00,210.0500000,210.1500000,209.7700000,209.8100000,769070
SBER,10,16/07/20,10:30:00,209.8800000,210.1000000,209.2800000,209.4400000,833380
SBER,10,16/07/20,10:40:00,209.3800000,209.5900000,209.2200000,209.2900000,482880
SBER,10,16/07/20,10:50:00,209.2900000,209.8400000,209.1600000,209.7400000,687320
SBER,10,16/07/20,11:00:00,209.7400000,209.8300000,209.4400000,209.4700000,347440
SBER,10,16/07/20,11:10:00,209.4700000,209.7900000,209.3000000,209.7000000,495780
SBER,10,16/07/20,11:20:00,209.7200000,209.7500000,209.4300000,209.5700000,337000
SBER,10,16/07/20,11:30:00,209.5700000,209.7400000,209.3400000,209.5600000,567970
SBER,10,16/07/20,11:40:00,209.5100000,209.5100000,208.8100000,209.0300000,1636810
SBER,10,16/07/20,11:50:00,209.0600000,209.1900000,208.9100000,209.0300000,386680
SBER,10,16/07/20,12:00:00,209.0300000,209.1900000,208.9100000,209.1200000,375650
SBER,10,16/07/20,12:10:00,209.1200000,209.3500000,208.7900000,208.9000000,541400
SBER,10,16/07/20,12:20:00,208.9000000,209.0200000,208.6300000,208.9500000,465280
SBER,10,16/07/20,12:30:00,208.9500000,209.1700000,208.9400000,209.1000000,171150
SBER,10,16/07/20,12:40:00,209.1100000,209.4000000,209.0600000,209.3100000,289790
SBER,10,16/07/20,12:50:00,209.3200000,209.6000000,209.2900000,209.5700000,441590
SBER,10,16/07/20,13:00:00,209.5700000,209.6400000,209.3600000,209.4300000,295760
SBER,10,16/07/20,13:10:00,209.3900000,209.6500000,209.3600000,209.4200000,140320
SBER,10,16/07/20,13:20:00,209.4900000,209.4900000,209.3000000,209.3800000,53000
SBER,10,16/07/20,13:30:00,209.3300000,209.3800000,209.0300000,209.0300000,220050
SBER,10,16/07/20,13:40:00,209.0300000,209.3000000,208.9900000,209.2700000,238570
SBER,10,16/07/20,13:50:00,209.2700000,209.6800000,209.2000000,209.5500000,626490
SBER,10,16/07/20,14:00:00,209.6000000,209.8900000,209.4900000,209.5500000,326770
SBER,10,16/07/20,14:10:00,209.5800000,209.6300000,209.3400000,209.4000000,198570
SBER,10,16/07/20,14:20:00,209.4000000,209.8400000,209.3000000,209.8400000,327460
SBER,10,16/07/20,14:30:00,209.8400000,210.3200000,209.8400000,210.2400000,1246710
SBER,10,16/07/20,14:40:00,210.2400000,210.4300000,210.0600000,210.1100000,570720
SBER,10,16/07/20,14:50:00,210.1100000,210.3100000,209.9300000,210.0600000,512620
SBER,10,16/07/20,15:00:00,210.0600000,210.1100000,209.6500000,209.9600000,855510
SBER,10,16/07/20,15:10:00,210.0000000,210.2000000,209.8100000,210.1900000,427660
SBER,10,16/07/20,15:20:00,210.1900000,210.3100000,209.9800000,210.1400000,422340
SBER,10,16/07/20,15:30:00,210.1300000,210.1400000,209.9300000,210.0900000,387210
SBER,10,16/07/20,15:40:00,210.0900000,210.6000000,210.0300000,210.1300000,1180210
SBER,10,16/07/20,15:50:00,210.1300000,210.3600000,210.0200000,210.1300000,295480
SBER,10,16/07/20,16:00:00,210.1700000,210.3000000,210.1000000,210.1500000,122540
SBER,10,16/07/20,16:10:00,210.1800000,210.5000000,210.1000000,210.2900000,269720
SBER,10,16/07/20,16:20:00,210.2800000,210.2800000,210.1400000,210.2300000,157690
SBER,10,16/07/20,16:30:00,210.2400000,210.2700000,210.0900000,210.1500000,221050
SBER,10,16/07/20,16:40:00,210.1600000,210.3700000,209.8500000,210.3000000,718300
SBER,10,16/07/20,16:50:00,210.2700000,210.4700000,210.0500000,210.3700000,404740
SBER,10,16/07/20,17:00:00,210.3700000,211.0000000,210.3300000,210.9400000,1275680
SBER,10,16/07/20,17:10:00,210.9400000,211.2500000,210.5300000,210.6100000,812880
SBER,10,16/07/20,17:20:00,210.6100000,211.1000000,210.6000000,210.9800000,515910
SBER,10,16/07/20,17:30:00,211.0000000,212.1100000,210.9800000,211.8600000,2630750
SBER,10,16/07/20,17:40:00,211.8600000,212.1200000,211.7100000,211.9100000,1496470
SBER,10,16/07/20,17:50:00,211.9500000,212.3700000,211.8700000,212.2500000,1433640
SBER,10,16/07/20,18:00:00,212.2400000,212.4900000,211.9700000,212.3700000,1396150
SBER,10,16/07/20,18:10:00,212.3700000,212.6000000,212.1900000,212.4400000,908650
SBER,10,16/07/20,18:20:00,212.3900000,212.4300000,211.9200000,212.0900000,807830
SBER,10,16/07/20,18:30:00,212.1400000,212.2000000,212.1400000,212.1900000,65920
